0 0.00265237
1 0.00156505
2 0.00937896
3 0.01012298
4 0.00968093
5 0.01694409
6 0.03083134
7 0.00321133
8 0.00784889
9 0.00937726
10 0.99506838
11 0.99507366
12 0.99501257
13 0.99517162
14 0.99499719
15 0.99501835
16 0.99504723
17 0.99534552
18 0.99530497
19 0.99525972
20 0.99526467
21 0.99521215
22 0.99546343
23 0.99528880
24 0.99492513
25 0.99504927
26 0.99510986
27 0.99504842
28 0.99514667
29 0.99517182
30 0.99502147
31 0.02059442
32 0.00395210
33 0.00495944
34 0.01358588
35 0.02647938
36 0.00462037
37 0.00424371
38 0.02433754
39 0.00853413
40 0.01529647
41 0.01614291
42 0.01274379
43 0.02039940
44 0.01568097
45 0.01323803
46 0.00138157
47 0.00895908
48 0.00220692
49 0.00241952
50 0.00667230
51 0.00784458
52 0.00182152
53 0.00162094
54 0.00795045
55 0.00501251
56 0.00537636
57 0.00835766
58 0.01212562
59 0.00641350
60 0.00153620
61 0.00527432
62 0.01591523
63 0.00517967
64 0.01586224
65 0.02373994
66 0.00913480
67 0.00533749
68 0.00993529
69 0.00847492
70 0.00039109
71 0.01156014
72 0.01480354
73 0.01171762
74 0.02510334
75 0.00491195
76 0.01123953
77 0.00082491
78 0.00214945
79 0.00366483
80 0.00541586
81 0.01150280
82 0.00596148
83 0.00643025
84 0.00161345
85 0.00371719
86 0.01880979
87 0.00407014
88 0.00761935
89 0.01200648
90 0.01448250
91 0.00737754
92 0.02034478
93 0.01433966
94 0.01179250
95 0.01027720
96 0.01495736
97 0.00548206
98 0.00516064
99 0.00473396
