0 17.567479 18.807478 13.263210 8.556333 18.425969
1 16.798161 15.940701 11.251799 16.022216 15.839120
2 18.976521 19.525276 18.894680 9.408987 13.605369
3 8.453447 12.023725 16.312962 19.508942 15.627275
4 19.339033 23.251452 15.908248 23.242093 19.476938
5 12.240339 16.168694 23.401633 23.132862 18.354380
6 18.239412 12.411491 16.567514 24.979937 19.399584
7 12.513592 8.959289 15.837042 12.153988 22.971054
8 19.543639 16.259792 15.969438 16.112464 25.979122
9 19.030267 14.990179 16.245391 12.259296 19.236406
10 16.286336 19.292722 12.636413 12.373735 12.658975
11 15.594348 19.138279 12.756038 12.424360 11.971664
12 15.891101 19.498586 12.646918 12.729959 12.520035
13 15.956995 19.406335 11.860591 12.146057 12.308678
14 15.495224 19.382501 12.332730 12.004448 12.591983
15 16.223866 19.022623 11.967156 12.594992 12.664693
16 15.955272 19.239782 12.021549 12.019012 12.244032
17 15.906642 19.876969 12.916926 12.422843 12.698813
18 16.663936 19.887971 12.551976 12.605575 12.117642
19 17.092452 19.953822 12.868730 12.615176 12.876864
20 16.585259 20.193649 12.754747 12.738517 12.548461
21 16.695898 19.503181 12.867559 12.795233 12.735984
22 16.777050 19.934394 12.397986 12.538129 12.872894
23 16.393899 19.872993 12.503000 13.090171 12.967024
24 15.960963 19.601509 12.573444 11.838157 12.388002
25 15.874181 19.173954 12.008080 12.118130 11.889426
26 16.132362 19.352359 12.242221 12.304271 12.578076
27 15.854463 19.152915 12.510338 11.900956 11.907076
28 16.136230 19.582558 12.311193 12.929902 12.628978
29 16.488529 20.014974 12.197470 12.499913 12.476719
30 15.931425 19.770582 11.970202 12.389842 12.721828
31 11.933666 16.261321 16.599315 19.801794 22.530295
32 16.302298 18.477805 22.774979 5.034554 25.417054
33 5.072416 12.101845 19.566281 8.689441 11.933084
34 22.001436 4.803304 16.284399 22.324540 8.651105
35 8.634364 8.402061 25.660976 22.805052 16.000725
36 10.931423 15.753079 11.635808 11.962500 13.230993
37 16.316685 16.082068 19.256315 8.964545 15.481424
38 19.878992 15.782433 22.653673 12.046233 11.486409
39 12.215512 19.012020 12.074172 19.725619 19.553630
40 15.903942 19.184230 16.072319 18.143687 19.043187
41 8.975913 19.842838 24.971878 16.826828 15.864983
42 12.059629 12.774545 15.803658 12.588339 12.148818
43 11.672679 11.511702 15.276443 19.820144 15.696404
44 7.753843 15.805028 22.693918 22.358892 22.531397
45 13.026133 19.085738 18.777429 22.366704 16.902956
46 8.590875 22.814444 12.006686 19.570579 9.698715
47 11.554376 8.341950 20.099589 5.047555 11.671054
48 19.024841 15.383785 16.628502 9.051399 15.304525
49 12.688216 12.358797 8.750472 23.515072 16.193303
50 16.549855 16.176110 16.656969 16.016412 16.099788
51 12.077004 7.923723 15.833804 19.621264 22.214905
52 19.551877 16.301108 23.065421 16.274124 19.286453
53 15.959838 16.945626 16.356202 11.715877 16.953014
54 18.873109 8.858994 12.251161 18.880817 15.925331
55 8.263987 26.028486 11.545695 22.129453 22.937007
56 12.460336 11.720361 26.382894 19.735466 19.774824
57 12.409289 22.816498 15.843704 19.914102 15.260328
58 19.181104 16.511295 26.157869 8.003396 23.107038
59 12.545218 12.784077 12.049934 22.516191 18.339506
60 16.545896 12.796543 19.942867 21.742644 19.056828
61 12.739840 19.360750 7.964894 7.491323 16.148124
62 11.767493 20.056703 19.443411 11.408277 12.217683
63 17.215836 19.961194 11.782535 16.068023 16.531352
64 17.538251 20.474686 15.832851 19.222330 19.571501
65 12.209592 15.421257 25.442902 22.072419 12.436361
66 12.061525 12.828528 11.668343 22.691558 11.585904
67 11.126253 22.240014 15.688701 25.655026 12.239233
68 19.404798 8.332654 11.617185 15.276605 8.452341
69 11.720882 22.367337 22.015961 18.544273 16.588171
70 19.492667 7.158389 19.639854 26.078229 16.075812
71 16.056351 16.226495 18.763852 18.925156 18.686213
72 19.665873 15.919815 18.578372 22.606888 19.071940
73 12.340175 12.666646 16.262166 16.692408 19.252801
74 11.887003 16.346079 15.443416 11.913138 15.788755
75 12.324509 16.936994 17.673760 22.703025 11.657720
76 12.341149 19.120249 18.910847 11.668451 19.627204
77 19.186587 9.457481 12.775443 17.239186 16.683596
78 19.409603 11.462790 8.106042 15.923260 12.473208
79 22.027818 16.534378 18.612973 8.767575 18.832124
80 18.195362 18.793784 11.857328 4.601556 20.063128
81 11.888447 8.953902 22.016060 8.564720 18.510637
82 18.849792 12.706803 12.441141 11.673534 15.766468
83 22.699529 15.074047 18.572969 19.543905 3.879742
84 23.079279 8.786186 16.112119 22.079939 7.908587
85 18.365048 19.786246 11.203588 21.585304 19.081452
86 16.342477 18.389143 18.883820 19.462415 12.289223
87 16.540485 12.428907 23.278933 8.524253 16.371572
88 12.383970 12.085158 12.208276 8.283223 12.718486
89 16.230374 19.619080 22.825793 18.863611 12.007711
90 15.644237 8.991906 19.650440 22.183547 18.771357
91 18.855160 5.080857 8.923746 12.728793 18.985298
92 18.004194 12.332386 18.955549 18.907920 23.273019
93 13.026318 16.601941 15.925066 20.033479 13.070545
94 8.385411 12.540276 19.136357 12.069491 16.136088
95 16.221962 18.611555 12.113794 18.837542 19.343682
96 19.604920 16.734224 4.844669 22.440596 11.928538
97 12.165443 16.122518 12.644836 25.098865 15.137571
98 17.284746 19.079448 11.746358 18.495024 19.643539
99 15.709840 12.033264 22.102595 22.127483 16.369275
