0 0.07796435 10 0
1 0.14601604 18 0
2 0.59806178 27 0
3 0.03486523 82 0
4 0.13238255 27 0
5 0.25901291 22 0
6 0.16427750 20 0
7 0.23237037 20 0
8 0.31193630 22 0
9 0.21835559 19 0
10 0.14559610 18 0
11 0.03319990 3 0
12 0.08590340 20 0
13 0.03126787 87 0
14 0.09413596 20 0
15 0.29804139 27 0
16 0.03664463 34 0
17 0.20943995 26 0
18 0.53256975 19 0
19 0.08039129 26 0
20 0.07020867 19 0
21 0.32520330 26 0
22 0.22691235 20 0
23 0.29533132 26 0
24 0.37970322 26 0
25 0.15668945 19 0
26 0.20743875 28 0
27 0.07214253 23 0
28 0.14866024 26 0
29 0.07857232 20 0
30 0.15839727 10 0
31 0.23689921 19 0
32 0.38729978 25 0
33 0.16962621 20 0
34 0.89813997 20 0
35 0.29758630 25 0
36 0.44107086 20 0
37 0.05517170 20 0
38 0.14612292 13 0
39 0.07933121 20 0
40 0.03340260 81 0
41 0.52798929 20 0
42 0.16749077 13 0
43 0.30135990 27 0
44 0.23066351 23 0
45 0.29996498 18 0
46 0.21801283 25 0
47 0.60202343 13 0
48 0.03174293 90 0
49 0.21177314 27 0
50 0.52353141 11 0
51 0.08222928 19 0
52 0.06843843 11 0
53 0.32619341 23 0
54 0.23105988 27 0
55 0.29946907 23 0
56 0.37754130 19 0
57 0.15181875 11 0
58 0.20890015 19 0
59 0.07485659 23 0
60 0.15121534 27 0
61 0.08066700 23 0
62 0.16000812 19 0
63 0.23217611 11 0
64 0.31636116 28 0
65 0.09636930 23 0
66 0.82689294 23 0
67 0.22246313 23 0
68 0.37490911 23 0
69 0.03933638 60 0
70 0.07602415 23 0
71 0.03585476 82 0
72 0.07228696 26 0
73 0.46072466 23 0
74 0.09562990 23 0
75 0.23211940 23 0
76 0.15698267 23 0
77 0.22827242 23 0
78 0.14537544 23 0
79 0.53347377 23 0
80 0.20264427 19 0
81 0.42841731 19 0
82 0.31415608 15 0
83 0.28995379 19 0
84 0.14653130 16 0
85 0.53251574 23 0
86 0.43923336 23 0
87 0.51289239 23 0
88 0.58607129 19 0
89 0.06256008 23 0
90 0.42170532 19 0
91 0.28522565 23 0
92 0.36607924 13 0
93 0.29187399 19 0
94 0.36882737 19 0
95 0.02938255 56 0
96 0.06864317 16 0
97 0.15696698 18 0
98 0.59351055 16 0
99 0.03820777 60 0
100 0.12307525 23 0
101 0.26984790 15 0
102 0.17562274 15 0
103 0.24194700 15 0
104 0.32193939 18 0
105 0.20911864 16 0
106 0.15516212 18 0
107 0.04036808 3 0
108 0.09648194 13 0
109 0.03404868 88 0
110 0.10493844 12 0
